counter,date_time,latitude,longitude,temperature,humidity,pressure,pitch,roll,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,motion_detected,humans_detected
48019,2023-05-12 15:34:20,-51.63943656,-55.11385528,38.19181061,24.51847076,1003.36377,336.1872404,66.92833383,302.3093263,0.02025200054,0.03806399927,0.01390799973,-0.000451862812,0.0008047744632,-0.0009537786245,3.649373293,3.126746655,-4.442465305,0,0
48020,2023-05-12 15:34:20,-51.64008235,-55.10184558,38.49407196,26.17065811,1003.374268,336.1618799,66.93785511,302.0097269,0.01976399869,0.03757599741,0.01683599874,0.0007695071399,-0.001332961023,0.001184262335,3.783823967,3.224794149,-3.974225283,0,0
48021,2023-05-12 15:34:20,-51.64092021,-55.08622619,38.19181061,23.82699966,1003.377441,336.1536103,66.86958054,301.8805816,0.01878799871,0.0378200002,0.01830000058,-0.002284951508,-0.0007218569517,-0.0009535998106,3.726153612,3.484158754,-3.887823582,0,0
48022,2023-05-12 15:34:20,-51.64152786,-55.07487169,38.38739014,24.82137108,1003.379883,336.1694188,66.94833945,301.6489153,0.01805599965,0.0378200002,0.01415199973,-0.001063171774,-0.0001110583544,0.001489924267,3.465519667,3.511079073,-3.770126104,0,0
48023,2023-05-12 15:34:20,-51.64217579,-55.06273955,38.51185226,23.78416443,1003.376953,336.2028133,66.9999347,301.3278691,0.0173240006,0.03586800024,0.0153719997,-0.001063123345,-0.001332677901,0.0005735885352,3.605253458,3.31707263,-3.624650717,0,0
48024,2023-05-12 15:34:20,-51.64279979,-55.05103111,38.19181061,24.69286728,1003.366699,336.1749102,67.13423671,301.1887928,0.01903199963,0.03660000116,0.01488399971,-0.001979500055,0.0004999041557,0.002405809239,3.638669014,3.226901531,-3.073646784,0,0
48025,2023-05-12 15:34:21,-51.64340845,-55.03958711,38.1384697,25.12121201,1003.369873,336.1898718,67.14806101,301.265448,0.0173240006,0.03635599837,0.0156159997,-0.000146728009,-0.001027226448,-0.0003433041275,3.526263952,3.306984663,-3.380154371,0,0
48026,2023-05-12 15:34:21,-51.64400783,-55.02829507,38.44073486,24.74182129,1003.374512,336.1625527,67.14967294,301.1115433,0.01854399964,0.03757599741,0.01512799971,-0.002284500748,-0.001027241349,-0.001870352775,3.565231562,3.337675095,-3.387919664,0,0
48027,2023-05-12 15:34:21,-51.64467281,-55.01574061,38.54741287,24.91010094,1003.377686,336.0983387,67.24653185,301.0195065,0.01878799871,0.03757599741,0.01707999967,0.003518667072,-0.00163783133,0.0005731955171,3.840783596,3.339645386,-3.220921516,0,0
48028,2023-05-12 15:34:21,-51.64533323,-55.00324459,38.52963257,26.08804893,1003.375,336.0886159,67.24147068,301.1590473,0.01756799966,0.03733199835,0.01610399969,0.001686044037,-0.0007216334343,0.001489043236,3.652995348,3.32158637,-3.007770538,0,0
48029,2023-05-12 15:34:21,-51.64595412,-54.99147128,39.00969696,25.6107502,1003.374268,336.1006302,67.21295464,301.2774623,0.01927600056,0.03586800024,0.01293199975,0.0004642643034,-0.0001108124852,-0.0003434102982,3.638269663,3.178568363,-3.116434813,0,0
48030,2023-05-12 15:34:21,-51.64656196,-54.97992153,39.08081818,25.19464302,1003.371826,336.0887389,67.23481808,301.4457718,0.01756799966,0.03903999925,0.01512799971,0.001991320401,-0.0001105964184,0.0008784327656,3.586216211,3.244350672,-2.918827295,0,0
48031,2023-05-12 15:34:21,-51.6473855,-54.9642352,38.47629166,24.68062973,1003.365967,336.0981696,67.30068159,301.5288132,0.01805599965,0.03830799833,0.01634800062,-0.001979123801,-0.001332037151,-3.81E-05,3.571336508,3.464629889,-3.012136459,0,0
48032,2023-05-12 15:34:21,-51.64800376,-54.95243007,39.08081818,25.40269661,1003.371582,336.1202107,67.19951966,301.5029063,0.01781199872,0.0378200002,0.01634800062,-0.0007572136819,-0.0007212907076,0.001183658838,3.76543808,3.397488594,-3.054081917,0,0
48033,2023-05-12 15:34:22,-51.64861216,-54.94078862,38.24514771,24.68062973,1003.375488,336.105367,67.17932962,301.5752995,0.01756799966,0.03855200112,0.0156159997,-0.001368079334,-0.001943320036,0.0002671182156,3.884912729,3.324597359,-2.994012594,0,0
48034,2023-05-12 15:34:22,-51.64922375,-54.92906177,38.2095871,25.39351845,1003.379883,336.159182,67.12218143,301.8182971,0.01927600056,0.03903999925,0.01781199872,-0.004116665572,0.0008054077625,-0.001870691776,3.954946518,3.4952631,-3.182239771,1,0
48035,2023-05-12 15:34:22,-51.64983797,-54.91725951,39.06303787,24.84890747,1003.381104,336.1383226,67.11649871,301.9765868,0.01927600056,0.03757599741,0.01854399964,-0.001367848366,-0.0004161298275,0.0008780565113,3.979464293,3.106226921,-3.313460588,1,0
48036,2023-05-12 15:34:22,-51.6504301,-54.90585795,38.10290909,25.73619461,1003.374268,336.1470277,67.10526988,302.2927152,0.01903199963,0.03855200112,0.01585999876,-0.001672923565,-0.002553962171,0.000266874209,3.915343285,3.202481985,-3.027010679,0,0
48037,2023-05-12 15:34:22,-51.65103825,-54.89412338,38.1384697,24.55518532,1003.371826,336.1385805,67.0457038,302.5474267,0.01756799966,0.03708799928,0.01463999972,0.000465080142,-0.001332014799,0.002099070698,3.517544031,3.121659279,-2.958199501,0,0
48038,2023-05-12 15:34:22,-51.65166915,-54.88192353,38.58297348,24.54294777,1003.37207,336.1778882,67.0386004,302.6275311,0.01927600056,0.03684400022,0.01585999876,-0.0004511959851,-0.0001102536917,-0.0003442727029,3.608958006,3.367312193,-2.827479601,1,0
48039,2023-05-12 15:34:22,-51.65227318,-54.87021801,38.6896553,24.72652435,1003.37207,336.1278417,66.998193,302.5783196,0.01951999962,0.03684400022,0.0156159997,-0.000145021826,0.0005003884435,0.001793382689,3.624335051,3.55155921,-2.970982552,1,0
48040,2023-05-12 15:34:22,-51.65289271,-54.85818617,38.29849243,25.53120041,1003.367676,336.0545691,67.0598218,302.4367571,0.01634800062,0.03855200112,0.01830000058,0.0001602508128,-0.0007214546204,0.001182401553,3.862385511,3.493244886,-3.234285116,0,0
48041,2023-05-12 15:34:23,-51.653716,-54.84215608,38.51185226,23.96774101,1003.37085,336.1458546,67.02828682,302.5054278,0.01659199968,0.03733199835,0.01512799971,-0.001977339387,0.001721844077,0.0002656299621,3.835477352,3.234206676,-2.785375595,0,0
